instant,dteday,casual,registered
1,2011-01-01,331,654
2,2011-01-02,131,670
3,2011-01-03,120,1229
4,2011-01-04,108,1454
5,2011-01-05,82,1518
6,2011-01-06,88,1518
7,2011-01-07,148,1362
8,2011-01-08,68,891
9,2011-01-09,54,768
10,2011-01-10,41,1280
11,2011-01-11,43,1220
12,2011-01-12,25,1137
13,2011-01-13,38,1368
14,2011-01-14,54,1367
15,2011-01-15,222,1026
16,2011-01-16,251,953
17,2011-01-17,117,883
18,2011-01-18,9,674
19,2011-01-19,78,1572
20,2011-01-20,83,1844
21,2011-01-21,75,1468
22,2011-01-22,93,888
23,2011-01-23,150,836
24,2011-01-24,86,1330
25,2011-01-25,186,1799
26,2011-01-26,34,472
27,2011-01-27,15,416
28,2011-01-28,38,1129
29,2011-01-29,123,975
30,2011-01-30,140,956
31,2011-01-31,42,1459
32,2011-02-01,47,1313
33,2011-02-02,72,1454
34,2011-02-03,61,1489
35,2011-02-04,88,1620
36,2011-02-05,100,905
37,2011-02-06,354,1269
38,2011-02-07,120,1592
39,2011-02-08,64,1466
40,2011-02-09,53,1552
41,2011-02-10,47,1491
42,2011-02-11,149,1597
43,2011-02-12,288,1184
44,2011-02-13,397,1192
45,2011-02-14,208,1705
46,2011-02-15,140,1675
47,2011-02-16,218,1897
48,2011-02-17,259,2216
49,2011-02-18,579,2348
50,2011-02-19,532,1103
51,2011-02-20,639,1173
52,2011-02-21,195,912
53,2011-02-22,74,1376
54,2011-02-23,139,1778
55,2011-02-24,100,1707
56,2011-02-25,120,1341
57,2011-02-26,424,1545
58,2011-02-27,694,1708
59,2011-02-28,81,1365
60,2011-03-01,137,1714
61,2011-03-02,231,1903
62,2011-03-03,123,1562
63,2011-03-04,214,1730
64,2011-03-05,640,1437
65,2011-03-06,114,491
66,2011-03-07,244,1628
67,2011-03-08,316,1817
68,2011-03-09,191,1700
69,2011-03-10,46,577
70,2011-03-11,247,1730
71,2011-03-12,724,1408
72,2011-03-13,982,1435
73,2011-03-14,359,1687
74,2011-03-15,289,1767
75,2011-03-16,321,1871
76,2011-03-17,424,2320
77,2011-03-18,884,2355
78,2011-03-19,1424,1693
79,2011-03-20,1047,1424
80,2011-03-21,401,1676
81,2011-03-22,460,2243
82,2011-03-23,203,1918
83,2011-03-24,166,1699
84,2011-03-25,300,1910
85,2011-03-26,981,1515
86,2011-03-27,472,1221
87,2011-03-28,222,1806
88,2011-03-29,317,2108
89,2011-03-30,168,1368
90,2011-03-31,179,1506
91,2011-04-01,307,1920
92,2011-04-02,898,1354
93,2011-04-03,1651,1598
94,2011-04-04,734,2381
95,2011-04-05,167,1628
96,2011-04-06,413,2395
97,2011-04-07,571,2570
98,2011-04-08,172,1299
99,2011-04-09,879,1576
100,2011-04-10,1188,1707
101,2011-04-11,855,2493
102,2011-04-12,257,1777
103,2011-04-13,209,1953
104,2011-04-14,529,2738
105,2011-04-15,642,2484
106,2011-04-16,121,674
107,2011-04-17,1558,2186
108,2011-04-18,669,2760
109,2011-04-19,409,2795
110,2011-04-20,613,3331
111,2011-04-21,745,3444
112,2011-04-22,177,1506
113,2011-04-23,1462,2574
114,2011-04-24,1710,2481
115,2011-04-25,773,3300
116,2011-04-26,678,3722
117,2011-04-27,547,3325
118,2011-04-28,569,3489
119,2011-04-29,878,3717
120,2011-04-30,1965,3347
121,2011-05-01,1138,2213
122,2011-05-02,847,3554
123,2011-05-03,603,3848
124,2011-05-04,255,2378
125,2011-05-05,614,3819
126,2011-05-06,894,3714
127,2011-05-07,1612,3102
128,2011-05-08,1401,2932
129,2011-05-09,664,3698
130,2011-05-10,694,4109
131,2011-05-11,550,3632
132,2011-05-12,695,4169
133,2011-05-13,692,3413
134,2011-05-14,902,2507
135,2011-05-15,1582,2971
136,2011-05-16,773,3185
137,2011-05-17,678,3445
138,2011-05-18,536,3319
139,2011-05-19,735,3840
140,2011-05-20,909,4008
141,2011-05-21,2258,3547
142,2011-05-22,1576,3084
143,2011-05-23,836,3438
144,2011-05-24,659,3833
145,2011-05-25,740,4238
146,2011-05-26,758,3919
147,2011-05-27,871,3808
148,2011-05-28,2001,2757
149,2011-05-29,2355,2433
150,2011-05-30,1549,2549
151,2011-05-31,673,3309
152,2011-06-01,513,3461
153,2011-06-02,736,4232
154,2011-06-03,898,4414
155,2011-06-04,1869,3473
156,2011-06-05,1685,3221
157,2011-06-06,673,3875
158,2011-06-07,763,4070
159,2011-06-08,676,3725
160,2011-06-09,563,3352
161,2011-06-10,815,3771
162,2011-06-11,1729,3237
163,2011-06-12,1467,2993
164,2011-06-13,863,4157
165,2011-06-14,727,4164
166,2011-06-15,769,4411
167,2011-06-16,545,3222
168,2011-06-17,863,3981
169,2011-06-18,1807,3312
170,2011-06-19,1639,3105
171,2011-06-20,699,3311
172,2011-06-21,774,4061
173,2011-06-22,661,3846
174,2011-06-23,746,4044
175,2011-06-24,969,4022
176,2011-06-25,1782,3420
177,2011-06-26,1920,3385
178,2011-06-27,854,3854
179,2011-06-28,732,3916
180,2011-06-29,848,4377
181,2011-06-30,1027,4488
182,2011-07-01,1246,4116
183,2011-07-02,2204,2915
184,2011-07-03,2282,2367
185,2011-07-04,3065,2978
186,2011-07-05,1031,3634
187,2011-07-06,784,3845
188,2011-07-07,754,3838
189,2011-07-08,692,3348
190,2011-07-09,1988,3348
191,2011-07-10,1743,3138
